PING 172.31.47.114 (172.31.47.114) 56(84) bytes of data.
64 bytes from 172.31.47.114: icmp_seq=145 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=146 ttl=127 time=0.339 ms
64 bytes from 172.31.47.114: icmp_seq=147 ttl=127 time=0.423 ms
64 bytes from 172.31.47.114: icmp_seq=148 ttl=127 time=0.366 ms
64 bytes from 172.31.47.114: icmp_seq=149 ttl=127 time=0.309 ms
64 bytes from 172.31.47.114: icmp_seq=150 ttl=127 time=0.312 ms
64 bytes from 172.31.47.114: icmp_seq=151 ttl=127 time=0.309 ms
64 bytes from 172.31.47.114: icmp_seq=152 ttl=127 time=0.352 ms
64 bytes from 172.31.47.114: icmp_seq=153 ttl=127 time=0.319 ms
64 bytes from 172.31.47.114: icmp_seq=154 ttl=127 time=0.360 ms
64 bytes from 172.31.47.114: icmp_seq=155 ttl=127 time=0.314 ms
64 bytes from 172.31.47.114: icmp_seq=156 ttl=127 time=0.438 ms
64 bytes from 172.31.47.114: icmp_seq=157 ttl=127 time=0.395 ms
64 bytes from 172.31.47.114: icmp_seq=158 ttl=127 time=0.434 ms
64 bytes from 172.31.47.114: icmp_seq=159 ttl=127 time=0.443 ms
64 bytes from 172.31.47.114: icmp_seq=160 ttl=127 time=0.359 ms
64 bytes from 172.31.47.114: icmp_seq=161 ttl=127 time=0.411 ms
64 bytes from 172.31.47.114: icmp_seq=162 ttl=127 time=0.307 ms
64 bytes from 172.31.47.114: icmp_seq=163 ttl=127 time=0.329 ms
64 bytes from 172.31.47.114: icmp_seq=164 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=165 ttl=127 time=0.293 ms
64 bytes from 172.31.47.114: icmp_seq=166 ttl=127 time=0.378 ms
64 bytes from 172.31.47.114: icmp_seq=167 ttl=127 time=0.305 ms
64 bytes from 172.31.47.114: icmp_seq=168 ttl=127 time=0.314 ms
64 bytes from 172.31.47.114: icmp_seq=169 ttl=127 time=0.338 ms
64 bytes from 172.31.47.114: icmp_seq=170 ttl=127 time=0.306 ms
64 bytes from 172.31.47.114: icmp_seq=171 ttl=127 time=0.325 ms
64 bytes from 172.31.47.114: icmp_seq=172 ttl=127 time=0.374 ms
64 bytes from 172.31.47.114: icmp_seq=173 ttl=127 time=0.308 ms
64 bytes from 172.31.47.114: icmp_seq=174 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=175 ttl=127 time=0.341 ms
64 bytes from 172.31.47.114: icmp_seq=176 ttl=127 time=0.297 ms
64 bytes from 172.31.47.114: icmp_seq=177 ttl=127 time=0.335 ms
64 bytes from 172.31.47.114: icmp_seq=178 ttl=127 time=0.353 ms
64 bytes from 172.31.47.114: icmp_seq=179 ttl=127 time=0.316 ms
64 bytes from 172.31.47.114: icmp_seq=180 ttl=127 time=0.290 ms
64 bytes from 172.31.47.114: icmp_seq=181 ttl=127 time=0.356 ms
64 bytes from 172.31.47.114: icmp_seq=182 ttl=127 time=0.290 ms
64 bytes from 172.31.47.114: icmp_seq=183 ttl=127 time=0.312 ms
64 bytes from 172.31.47.114: icmp_seq=184 ttl=127 time=0.336 ms
64 bytes from 172.31.47.114: icmp_seq=185 ttl=127 time=0.313 ms
64 bytes from 172.31.47.114: icmp_seq=186 ttl=127 time=0.323 ms
64 bytes from 172.31.47.114: icmp_seq=187 ttl=127 time=0.276 ms
64 bytes from 172.31.47.114: icmp_seq=188 ttl=127 time=0.298 ms
64 bytes from 172.31.47.114: icmp_seq=189 ttl=127 time=0.406 ms
64 bytes from 172.31.47.114: icmp_seq=190 ttl=127 time=0.374 ms
64 bytes from 172.31.47.114: icmp_seq=191 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=192 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=193 ttl=127 time=0.428 ms
64 bytes from 172.31.47.114: icmp_seq=194 ttl=127 time=0.306 ms
64 bytes from 172.31.47.114: icmp_seq=195 ttl=127 time=0.400 ms
64 bytes from 172.31.47.114: icmp_seq=196 ttl=127 time=0.340 ms
64 bytes from 172.31.47.114: icmp_seq=197 ttl=127 time=0.330 ms
64 bytes from 172.31.47.114: icmp_seq=198 ttl=127 time=0.321 ms
